PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin,LocationCode,Survived
1122,1,female,38.9,0,0,63.66,S,,LOC-966995,1
1406,2,female,27.2,0,0,26.58,Q,,LOC-719396,1
1175,3,female,17.0,1,0,13.74,Q,,LOC-729040,1
1438,3,female,55.3,0,0,8.88,Q,G4,LOC-782370,1
1758,3,male,17.7,0,1,12.99,S,G15,LOC-893218,0
1510,3,male,26.6,2,0,10.74,Q,G156,LOC-703922,0
1284,2,female,57.8,0,0,30.58,C,,LOC-655205,1
1324,3,female,13.4,0,1,11.84,S,D36,LOC-893738,1
1313,3,female,,2,0,12.89,S,,LOC-929110,0
1275,1,male,43.3,0,0,98.6,S,B198,LOC-645313,1
1328,3,female,26.4,1,0,6.59,C,G124,LOC-959664,1
1296,1,male,45.8,0,0,74.59,S,,LOC-172368,1
1816,2,male,51.4,0,1,32.77,S,F14,LOC-515004,1
1268,3,male,31.1,1,1,15.85,S,,LOC-237387,1
1115,3,female,33.1,0,0,15.3,S,,LOC-386548,1
1859,3,female,9.3,0,3,14.56,C,E203,LOC-104666,1
1399,2,male,,0,0,28.23,S,,LOC-410844,0
1299,3,male,35.7,0,0,11.9,S,G166,LOC-997570,0
1671,3,female,,0,0,7.82,C,F81,LOC-248514,0
1641,1,female,69.7,0,1,65.87,S,A121,LOC-432441,1
1552,2,male,6.6,1,1,28.04,C,G219,LOC-374296,0
1571,3,male,24.7,0,0,15.87,S,,LOC-333324,1
1172,1,male,,1,0,59.32,S,,LOC-507377,1
1815,3,male,22.6,0,0,14.83,S,,LOC-149920,1
1740,3,female,,1,3,19.58,S,G128,LOC-268068,0
1487,1,male,35.1,0,1,128.13,S,C208,LOC-344874,1
1030,2,male,31.2,0,1,23.02,S,F8,LOC-193230,1
1811,3,female,29.7,0,0,29.27,S,G5,LOC-445471,1
1439,2,male,8.8,0,0,19.06,C,E100,LOC-489302,1
1543,3,male,31.4,1,1,11.84,S,,LOC-477668,0
1523,2,male,44.4,2,0,31.15,S,B133,LOC-979934,0
1431,1,female,28.6,1,0,91.14,S,B110,LOC-617159,1
1305,3,female,,1,0,14.19,C,G152,LOC-684184,1
1689,1,female,30.4,0,0,106.13,Q,A42,LOC-744478,1
1746,1,female,49.1,0,1,134.6,S,,LOC-743974,1
1601,1,male,26.3,3,0,209.64,S,,LOC-610077,0
1674,3,male,38.0,2,0,12.54,S,,LOC-624692,0
1032,3,male,48.9,0,0,11.5,Q,,LOC-879571,0
1616,2,male,22.1,0,0,25.75,S,,LOC-142533,1
1502,2,male,12.9,0,0,33.27,C,A44,LOC-212496,1
1251,3,male,,1,0,10.28,S,,LOC-715669,1
1856,2,male,24.7,0,0,28.83,S,,LOC-412226,0
1737,3,female,38.0,1,0,11.77,S,,LOC-799359,1
1781,2,male,39.9,0,0,35.62,C,,LOC-382735,0
1365,1,female,,1,0,73.02,C,A137,LOC-839791,1
1239,3,male,43.9,2,1,10.76,S,,LOC-839648,1
1375,3,male,5.9,2,3,11.96,Q,F40,LOC-928790,0
1564,1,male,35.8,0,0,247.82,S,,LOC-598607,1
1342,2,male,39.8,0,1,35.84,S,,LOC-801350,0
1681,3,male,28.6,3,1,9.89,S,G155,LOC-460879,0
1610,2,male,26.3,1,0,19.04,Q,E215,LOC-661280,1
1466,3,female,25.4,1,0,12.32,S,G76,LOC-807773,0
1862,2,female,40.0,1,0,25.18,S,D195,LOC-485971,0
1022,3,male,45.1,1,0,7.63,S,G78,LOC-234109,0
1181,3,male,29.9,1,0,12.9,Q,G22,LOC-505009,0
1478,3,male,18.9,2,0,15.86,S,F208,LOC-340142,0
1519,2,male,,1,1,31.57,C,D100,LOC-615174,1
1141,3,male,45.5,2,0,10.64,S,,LOC-117114,1
1592,1,male,40.5,0,0,93.88,S,A130,LOC-847624,1
1591,2,female,47.9,0,1,21.43,S,E188,LOC-887600,1
1642,1,female,41.5,0,0,98.71,S,C41,LOC-640093,0
1792,2,female,34.1,0,0,24.68,S,G201,LOC-746942,0
1210,2,male,50.2,0,0,38.84,C,,LOC-821435,0
1407,3,male,28.2,0,1,7.23,S,,LOC-575182,0
1435,1,female,43.3,0,0,103.03,S,,LOC-577967,1
1640,3,female,,0,0,9.06,S,,LOC-671098,1
1753,1,female,61.6,0,1,72.58,S,,LOC-241769,0
1278,3,male,9.8,0,1,23.72,S,G88,LOC-851264,1
1253,1,female,10.1,0,1,85.98,C,,LOC-482664,1
1276,1,male,41.4,2,0,192.38,Q,,LOC-727039,1
1809,3,male,,0,0,15.57,C,,LOC-498664,0
1307,2,male,11.5,0,0,25.81,Q,,LOC-142175,0
1541,3,male,27.8,1,0,12.97,S,E219,LOC-720991,1
1211,2,male,12.2,0,0,50.73,S,,LOC-580457,0
1870,3,male,12.4,3,0,10.14,S,,LOC-251610,1
1254,3,male,43.0,0,0,17.57,S,F166,LOC-915879,0
1867,3,male,,1,1,13.25,S,F111,LOC-475503,1
1504,1,male,47.8,0,0,92.39,S,E191,LOC-917450,1
1107,3,male,20.4,0,0,9.51,Q,,LOC-600679,0
1520,3,male,24.8,0,0,19.83,S,,LOC-679187,0
1137,2,female,7.1,1,0,47.24,S,,LOC-889089,1
1710,2,male,31.4,2,0,41.67,S,F30,LOC-866749,0
1129,1,female,54.5,0,0,110.71,S,,LOC-962063,1
1889,3,female,32.2,1,0,14.2,S,,LOC-142990,0
1062,1,male,32.6,0,0,152.13,S,,LOC-917889,0
1818,3,male,10.7,2,0,22.04,C,,LOC-319272,1
1241,3,male,10.5,0,0,17.05,Q,G102,LOC-891846,0
1256,2,male,31.8,0,0,27.52,S,C205,LOC-573294,1
1553,3,female,27.9,0,0,10.74,C,F93,LOC-387835,0
1614,3,male,13.1,2,0,9.83,C,,LOC-564680,0
1634,3,male,16.9,0,0,11.18,Q,F208,LOC-675166,1
1548,3,female,64.8,0,1,19.48,S,E76,LOC-936706,1
1755,2,female,29.1,2,0,32.04,Q,E167,LOC-267249,1
1006,3,female,34.6,0,1,15.68,S,D109,LOC-296048,1
1354,3,female,31.0,1,0,14.35,C,D29,LOC-250205,1
1084,1,female,27.0,0,0,63.11,C,,LOC-452970,1
1705,1,female,52.0,0,0,35.19,S,C135,LOC-757128,1
1779,1,male,30.8,0,1,65.48,C,C114,LOC-674371,1
1393,3,male,31.9,0,0,19.64,S,G26,LOC-499104,0
1479,2,female,31.3,0,1,15.86,S,,LOC-836940,1
1092,3,male,8.6,1,1,18.78,S,,LOC-386477,1
1512,1,male,41.1,1,1,94.13,C,,LOC-913497,1
1417,3,female,10.9,1,0,8.96,Q,C55,LOC-402440,1
1412,3,female,27.5,0,0,7.3,Q,G130,LOC-214203,0
1130,3,female,48.9,1,0,9.22,S,,LOC-413667,0
1007,2,male,5.0,1,1,52.53,S,D117,LOC-407232,1
1754,3,male,12.4,2,1,35.88,C,F104,LOC-945441,0
1745,1,female,41.2,0,0,45.81,S,,LOC-945589,1
1039,1,male,46.0,0,1,91.51,C,D215,LOC-203019,1
1312,3,male,18.0,0,0,8.98,C,,LOC-508469,0
1892,2,male,,0,0,27.12,S,,LOC-759089,0
1362,3,male,9.1,1,0,8.42,C,,LOC-332443,0
1364,2,female,20.7,0,0,29.76,S,D61,LOC-734918,1
1215,1,male,43.2,1,0,79.62,Q,,LOC-520790,1
1204,2,female,10.7,0,2,38.13,C,D145,LOC-117389,1
1491,3,female,27.9,1,1,19.28,C,G82,LOC-761407,0
1515,3,male,21.7,0,1,13.06,S,,LOC-682158,0
1622,2,female,34.0,2,2,39.39,S,,LOC-344896,1
1351,3,male,32.2,3,0,22.89,C,,LOC-630363,1
1441,3,female,14.5,1,0,11.28,S,,LOC-559156,0
1795,3,male,11.4,0,2,12.58,S,,LOC-507528,1
1693,3,female,25.4,0,0,13.31,S,,LOC-856991,1
1288,1,male,55.5,0,0,81.79,S,B174,LOC-948895,1
1402,3,female,,0,1,9.88,S,G168,LOC-863386,0
1263,2,male,37.1,1,1,38.48,S,,LOC-844871,0
1244,1,male,34.9,0,0,88.41,S,B153,LOC-705207,1
1824,3,female,33.4,1,2,15.37,S,G112,LOC-112269,0
1786,3,female,16.0,1,0,10.42,S,G37,LOC-906782,0
1835,3,male,26.1,1,0,6.48,S,,LOC-303287,0
1397,3,female,16.0,1,0,20.9,C,,LOC-298182,0
1495,3,male,21.3,0,0,7.9,S,,LOC-217808,0
1180,3,female,21.0,1,0,19.52,S,,LOC-133659,0
1306,3,female,22.9,0,0,8.04,S,,LOC-166245,0
1852,3,female,,0,0,9.23,C,,LOC-528947,0
1720,1,male,6.5,0,1,145.15,S,,LOC-188622,1
1594,1,male,25.6,0,2,62.91,S,B197,LOC-622166,1
1595,1,male,39.3,0,0,56.46,S,E155,LOC-325703,0
1102,3,male,40.0,0,0,16.45,S,,LOC-571130,0
1475,3,male,17.2,1,1,11.0,S,,LOC-979777,0
1492,3,female,24.0,0,1,14.41,S,,LOC-873435,0
1394,2,female,37.1,0,0,35.43,S,G166,LOC-660643,0
1483,3,female,19.0,0,0,9.68,C,,LOC-501613,1
1020,3,female,24.7,0,1,14.45,C,,LOC-686047,0
1345,1,female,11.7,1,0,69.28,S,D104,LOC-933560,1
1331,1,male,44.6,0,0,72.17,S,C86,LOC-969484,1
1424,3,male,7.8,0,0,18.11,Q,G183,LOC-664520,0
1058,1,male,62.8,0,1,183.22,S,,LOC-553368,0
1336,1,male,54.7,0,1,155.3,Q,,LOC-100016,1
1080,1,male,40.3,1,1,68.17,S,,LOC-176553,1
1452,3,female,33.4,1,0,12.82,S,,LOC-410434,1
1450,2,male,20.8,0,0,51.18,Q,,LOC-921412,0
1884,2,male,26.7,0,0,31.82,S,,LOC-632698,0
1516,2,male,26.0,0,0,20.2,S,,LOC-357205,0
1246,3,male,45.5,2,0,15.99,C,G202,LOC-799546,1
1488,2,male,23.6,0,0,17.38,S,,LOC-429592,0
1456,3,male,,2,0,13.0,Q,,LOC-942640,0
1079,3,male,34.3,0,0,7.69,S,G93,LOC-446635,0
1531,2,female,27.6,0,1,21.22,S,E2,LOC-588306,1
1888,3,male,38.8,2,0,10.56,C,F115,LOC-286660,0
1555,3,female,19.0,1,0,6.89,S,G71,LOC-900326,1
1570,3,male,12.2,0,0,7.13,C,,LOC-542376,1
1789,1,female,41.7,1,1,124.34,S,B24,LOC-863671,1
1718,3,male,12.7,1,1,8.52,S,F185,LOC-322747,0
1067,1,female,47.3,0,1,45.21,C,,LOC-135090,0
1385,3,male,23.0,2,0,12.08,Q,G86,LOC-603914,0
1505,2,female,6.9,0,1,75.66,S,,LOC-776123,1
1850,2,female,44.5,0,0,20.46,C,D121,LOC-292037,0
1586,2,female,40.8,0,0,33.0,S,,LOC-711695,0
1283,1,male,48.2,0,0,49.01,C,,LOC-494065,0
1685,2,female,10.9,1,0,32.35,,D193,LOC-924154,1
1899,3,male,29.9,1,1,13.17,S,,LOC-424612,0
1635,2,male,37.8,0,0,38.11,C,,LOC-712440,0
1262,3,female,24.1,0,1,17.17,S,,LOC-993353,0
1530,2,female,39.2,1,0,25.32,S,,LOC-961216,1
1898,2,male,4.5,0,2,27.05,S,,LOC-969266,0
1303,1,female,,0,0,113.24,S,,LOC-403688,1
1103,3,male,29.0,0,0,11.04,S,,LOC-310960,0
1230,2,female,22.9,0,1,25.82,S,,LOC-898190,1
1179,2,male,24.4,0,0,23.67,S,,LOC-304764,1
1090,3,female,44.4,3,0,25.18,S,,LOC-758630,0
1031,3,male,14.5,1,3,36.24,S,F52,LOC-813724,1
1473,1,female,42.4,0,0,73.7,S,,LOC-548101,1
1001,3,male,34.1,1,0,12.11,S,,LOC-926198,0
1525,3,male,14.8,0,0,13.86,C,,LOC-325485,1
1111,3,female,3.7,0,0,9.68,S,,LOC-178710,0
1152,3,male,,1,0,13.06,S,,LOC-525213,1
1349,3,female,13.9,2,1,23.93,Q,F91,LOC-648976,1
1373,1,female,34.8,0,1,155.52,S,,LOC-766846,1
1162,2,male,8.9,0,1,25.66,S,,LOC-629662,0
1118,2,female,40.9,0,0,20.52,S,,LOC-893732,0
1833,2,male,31.9,1,2,54.63,C,,LOC-303715,0
1222,3,female,32.0,0,1,21.8,S,,LOC-587843,1
1665,3,female,33.5,0,0,11.1,C,,LOC-809462,0
1507,3,male,14.5,0,0,11.79,S,G3,LOC-959642,0
1207,3,female,19.8,0,0,13.46,C,G193,LOC-109238,0
1026,1,female,30.5,0,0,133.61,S,E71,LOC-644219,1
1672,3,male,,0,1,9.49,S,,LOC-984920,1
1582,1,male,39.0,1,0,89.47,S,,LOC-793345,1
1425,2,male,,0,0,21.39,S,,LOC-640955,1
1301,3,male,23.4,0,0,8.98,S,,LOC-469010,0
1235,3,male,13.0,0,0,9.6,,,LOC-103660,0
1828,2,female,9.1,1,1,20.96,Q,D217,LOC-771627,1
1481,3,female,58.6,2,0,10.73,S,,LOC-253384,1
1604,2,male,11.0,0,1,26.78,S,G186,LOC-188125,0
1836,3,female,11.8,2,2,15.49,S,,LOC-516927,1
1316,3,male,,0,0,12.21,S,F166,LOC-400140,0
1214,3,female,23.2,2,0,23.18,S,,LOC-134022,1
1423,2,male,17.8,1,0,25.35,C,,LOC-612569,0
1131,2,male,22.8,1,0,22.33,S,D105,LOC-251183,0
1514,3,male,30.8,2,0,22.28,,G104,LOC-779361,0
1629,2,female,47.2,0,0,24.52,S,,LOC-659625,0
1353,2,female,28.1,0,0,30.76,Q,,LOC-566116,1
1861,1,male,10.9,0,1,64.14,S,E214,LOC-706499,1
1876,3,male,13.4,4,1,28.75,S,,LOC-283061,0
1071,2,male,17.7,0,2,58.39,S,,LOC-171565,1
1370,1,male,44.5,0,0,83.56,S,A37,LOC-480737,1
1323,3,female,11.6,0,1,11.83,S,G163,LOC-318242,0
1228,3,female,23.8,1,1,10.16,S,G6,LOC-330251,1
1644,3,male,28.5,2,0,14.61,S,,LOC-814437,0
1607,2,male,50.4,0,1,54.09,S,,LOC-992106,0
1759,3,male,,1,0,13.94,C,F208,LOC-528868,0
1820,1,female,25.8,0,0,58.28,S,B83,LOC-459733,1
1322,3,female,11.4,2,1,8.39,C,,LOC-164922,0
1123,2,male,50.6,1,0,36.73,S,,LOC-509314,0
1497,3,female,36.6,0,0,14.8,S,,LOC-902517,0
1817,2,female,3.6,0,1,70.1,S,D127,LOC-234954,1
1736,2,male,31.7,0,0,30.46,S,,LOC-441137,0
1018,3,male,13.4,0,0,23.17,S,,LOC-857926,1
1422,3,male,51.2,1,0,8.91,C,F92,LOC-401031,0
1190,3,male,28.8,2,0,5.68,S,,LOC-479962,0
1072,3,male,15.6,2,2,23.35,S,,LOC-269924,0
1138,3,female,6.5,1,2,15.54,C,,LOC-139064,1
1347,1,male,40.6,1,0,97.44,S,,LOC-382557,1
1540,3,female,29.4,0,0,12.09,C,,LOC-359380,0
1112,1,male,50.2,1,0,130.88,S,,LOC-579000,1
1547,3,male,27.5,2,0,10.86,S,F91,LOC-812767,0
1568,1,male,27.8,0,0,36.79,S,B107,LOC-240969,1
1447,3,female,25.2,1,0,12.62,C,G117,LOC-910492,0
1147,2,female,27.6,0,0,24.28,S,G155,LOC-144209,1
1383,2,female,39.2,1,0,26.93,C,,LOC-669088,1
1558,3,female,15.3,0,0,21.76,S,F27,LOC-485177,1
1858,1,male,24.8,1,0,94.76,C,,LOC-402596,0
1484,1,male,45.0,1,0,98.95,S,C110,LOC-995859,1
1320,3,male,,1,1,8.21,,G174,LOC-823939,0
1838,3,male,,1,0,16.88,C,G4,LOC-308418,1
1234,3,female,11.7,1,1,17.23,S,G177,LOC-642607,0
1200,2,male,9.8,0,1,46.44,S,,LOC-846440,0
1193,3,male,24.6,2,0,11.0,Q,,LOC-206522,0
1213,2,male,16.0,0,1,43.36,S,,LOC-991731,0
1221,1,male,42.8,0,0,78.29,S,E192,LOC-424413,1
1646,1,female,26.0,1,0,77.79,C,,LOC-138369,1
1277,3,female,20.2,0,2,12.18,S,,LOC-180981,1
1655,1,female,40.9,1,0,92.48,S,,LOC-952792,1
1638,3,male,33.7,0,2,7.32,S,,LOC-592081,1
1405,1,female,48.0,0,1,87.1,S,,LOC-837810,0
1747,1,male,43.4,0,1,164.96,S,,LOC-884611,1
1388,1,male,36.0,0,1,66.51,C,,LOC-829978,1
1368,2,female,23.9,2,2,42.47,S,,LOC-891192,1
1209,3,male,41.3,0,0,11.05,S,,LOC-537539,0
1082,1,male,33.8,0,0,51.12,S,C103,LOC-828297,1
1004,3,female,17.7,1,0,20.64,S,,LOC-846064,1
1708,3,male,24.6,1,0,14.48,S,G167,LOC-789136,0
1559,3,female,49.3,0,1,18.5,C,,LOC-483465,0
1060,3,male,,1,0,7.41,S,F31,LOC-133493,1
1574,2,female,37.0,0,0,54.22,S,G83,LOC-340397,0
1199,3,female,7.4,0,1,14.33,S,,LOC-256211,1
