PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Cabin,LocationCode
1729,3,female,4.1,2,0,20.63,S,,LOC-900075
1627,2,female,25.3,1,1,56.94,S,,LOC-656377
1139,3,male,13.1,0,0,6.34,S,,LOC-263913
1455,1,male,39.2,0,1,259.79,S,,LOC-959731
1343,1,male,61.6,0,0,82.8,Q,B55,LOC-623747
1883,2,female,44.0,0,1,34.03,S,E13,LOC-825278
1730,2,male,32.6,0,0,35.15,S,,LOC-755907
1136,3,male,35.1,0,0,11.52,S,,LOC-136709
1561,3,female,22.5,0,0,4.97,S,,LOC-248479
1367,3,female,11.4,0,3,9.21,S,,LOC-819226
1445,3,male,28.7,0,0,7.78,S,,LOC-688610
1444,2,male,27.5,1,0,23.2,S,A11,LOC-345101
1027,1,male,51.6,0,1,67.95,S,C93,LOC-349100
1462,3,male,36.2,0,0,6.99,S,,LOC-198182
1124,2,male,,0,0,27.86,Q,,LOC-987850
1051,3,female,44.9,1,0,12.67,S,,LOC-318655
1783,2,male,38.6,0,0,46.5,C,E108,LOC-614220
1285,2,male,23.9,0,0,25.43,S,D138,LOC-272777
1310,3,male,28.3,1,1,15.14,C,D62,LOC-546004
1698,3,male,33.5,0,0,24.88,S,,LOC-871589
1765,1,male,44.7,0,1,85.37,C,,LOC-522690
1260,2,male,49.6,0,1,25.2,Q,,LOC-173090
1376,3,female,16.4,1,2,22.19,S,G97,LOC-249649
1797,1,male,24.8,0,0,74.29,S,A50,LOC-872415
1713,2,male,21.5,1,0,67.43,C,G136,LOC-485608
1662,2,female,19.0,0,1,33.62,C,,LOC-830701
1191,3,female,,0,0,10.37,C,F147,LOC-298820
1227,3,female,41.7,1,0,7.92,S,,LOC-806415
1379,3,female,35.1,0,0,10.14,Q,G98,LOC-371949
1702,3,female,12.4,0,0,7.14,S,F74,LOC-960896
1348,3,female,5.8,2,1,13.23,Q,,LOC-345283
1695,3,male,,1,2,15.45,S,F51,LOC-915005
1099,3,female,41.0,0,1,11.92,S,,LOC-322116
1453,2,male,26.9,1,0,36.99,S,F172,LOC-418432
1396,2,female,10.9,0,0,28.26,S,,LOC-484169
1566,3,male,29.8,0,0,4.24,S,G77,LOC-236695
1220,2,female,5.6,0,0,27.66,S,,LOC-164861
1611,3,male,27.3,0,0,10.01,S,,LOC-734527
1177,3,male,15.3,0,0,14.88,S,,LOC-903706
1149,2,female,26.1,2,0,39.54,Q,,LOC-943692
1721,3,male,14.4,4,1,20.26,S,,LOC-635965
1428,3,male,26.1,0,0,11.89,C,,LOC-379737
1670,3,female,0.5,0,0,11.96,S,G47,LOC-563682
1522,3,female,,0,0,7.07,C,,LOC-143300
1167,1,male,36.0,0,0,55.56,S,,LOC-702675
1021,3,female,37.8,0,0,10.63,S,,LOC-848979
1651,2,male,31.2,0,1,37.81,S,E163,LOC-507975
1700,3,female,34.4,0,0,13.65,S,,LOC-803474
1415,2,female,29.1,0,0,29.18,S,,LOC-681300
1770,2,male,20.3,0,0,44.54,S,E67,LOC-842064
1724,1,female,25.6,1,0,131.58,C,,LOC-199463
1154,2,female,22.1,1,0,30.83,S,E7,LOC-410405
1719,3,female,16.8,0,0,17.11,S,,LOC-444131
1587,3,female,22.4,1,2,15.82,S,G168,LOC-360737
1726,2,male,49.7,0,1,54.71,S,D63,LOC-161579
1436,2,male,28.3,0,1,55.16,S,,LOC-938399
1692,3,male,,0,0,15.52,S,D140,LOC-345130
1195,3,female,16.6,0,0,9.08,S,G86,LOC-289794
1178,3,female,6.5,1,2,13.5,Q,G26,LOC-168382
1711,3,male,18.1,0,1,25.34,S,,LOC-326096
1810,2,male,43.5,0,2,40.39,S,,LOC-325143
1319,3,male,20.8,0,2,13.6,S,,LOC-974229
1433,3,female,17.5,1,0,9.11,S,,LOC-594608
1557,3,male,32.8,0,0,9.22,S,G56,LOC-236218
1826,2,female,26.8,0,1,34.87,S,,LOC-253200
1778,3,male,16.1,1,1,13.52,S,F20,LOC-530819
1596,1,male,29.9,0,0,76.62,S,B120,LOC-705561
1845,1,male,50.1,0,0,85.28,S,,LOC-983354
1873,1,male,44.1,0,0,118.53,S,,LOC-250720
1359,2,female,29.5,1,0,54.57,C,,LOC-187856
1734,2,male,43.6,0,0,15.33,Q,B82,LOC-567832
1293,3,male,,1,0,12.61,S,,LOC-536281
1762,3,male,21.9,3,0,11.28,S,,LOC-575322
1249,2,male,36.0,1,0,67.99,Q,A114,LOC-931824
1477,2,female,32.2,0,0,23.89,S,,LOC-144780
1637,3,female,17.9,3,0,16.83,C,,LOC-832217
1857,2,female,49.4,0,1,23.34,S,,LOC-406546
1160,3,female,16.3,1,0,4.73,S,G173,LOC-650872
1088,3,male,9.3,1,0,13.84,S,,LOC-827351
1709,3,female,48.7,0,0,13.96,S,,LOC-469532
1225,1,female,32.6,0,2,113.1,S,A208,LOC-754982
1389,2,male,19.9,0,0,21.28,S,,LOC-930915
1728,3,female,23.9,2,0,8.82,C,F169,LOC-355797
1764,2,male,32.2,1,1,47.57,S,,LOC-246018
1632,2,male,23.8,0,0,41.06,S,,LOC-211174
1732,1,male,36.6,0,2,134.49,Q,,LOC-464390
1048,2,male,34.9,2,0,43.5,C,E69,LOC-851913
1047,3,male,49.9,1,0,12.43,S,,LOC-661328
1863,3,female,10.6,1,2,18.4,S,F54,LOC-670454
1043,3,male,44.1,1,0,8.5,C,G172,LOC-307055
1517,2,male,,0,0,66.31,C,E72,LOC-683127
1265,3,male,,1,0,14.73,Q,,LOC-451192
1327,3,female,,1,0,10.43,S,,LOC-338407
1205,3,female,15.3,3,0,16.01,S,,LOC-162698
1184,1,male,52.8,0,0,74.03,S,C28,LOC-926435
1511,3,female,3.8,3,0,14.98,S,,LOC-349725
1554,2,male,11.1,0,2,29.53,S,,LOC-239371
1272,1,female,54.7,0,0,47.14,C,D80,LOC-808366
1864,1,female,31.0,0,1,85.82,C,B108,LOC-198982
1794,3,male,,1,0,16.9,C,F118,LOC-230149
1869,3,female,51.8,0,2,16.35,Q,,LOC-237798
1808,3,female,32.4,3,0,12.87,S,,LOC-259260
1829,3,male,18.0,0,0,18.66,S,G15,LOC-251891
1384,2,female,33.8,0,0,21.1,Q,,LOC-281326
1897,2,female,20.4,1,0,20.98,S,,LOC-537012
1289,2,female,28.9,0,1,22.4,Q,E212,LOC-294091
1440,2,male,19.4,0,0,15.03,S,,LOC-799122
1341,3,male,18.6,0,0,7.01,Q,,LOC-937681
1329,3,male,36.5,0,2,8.82,C,G25,LOC-370354
1037,2,female,13.9,0,1,28.44,S,,LOC-637828
1866,1,male,35.3,0,0,90.83,C,,LOC-482687
1716,1,male,46.1,0,0,88.6,S,C35,LOC-767087
1467,2,female,38.7,0,0,43.96,S,,LOC-608963
1480,1,male,2.2,0,3,100.92,S,,LOC-709251
1597,2,male,40.2,0,0,25.45,Q,E85,LOC-870922
1106,1,female,14.5,0,1,76.19,S,C120,LOC-228004
1038,3,male,18.4,1,0,17.34,C,G219,LOC-373247
1113,3,male,45.4,0,0,13.2,S,F28,LOC-662701
1773,3,male,33.8,0,0,6.84,S,,LOC-684401
1242,1,female,28.4,0,1,102.39,S,E4,LOC-534976
1628,3,female,5.0,1,1,14.06,S,F82,LOC-643802
1739,2,female,66.5,0,1,68.45,S,D137,LOC-976764
1706,3,female,4.1,0,1,11.91,S,F199,LOC-330967
1733,3,male,1.0,3,1,20.78,S,D77,LOC-291254
1489,3,female,23.4,1,0,10.26,S,A52,LOC-320463
1016,1,male,47.2,0,0,102.93,S,,LOC-514211
1197,3,female,14.9,2,0,10.26,S,G6,LOC-516463
1633,3,male,38.4,1,0,8.9,S,,LOC-587465
1842,1,female,39.0,0,0,86.5,S,,LOC-131262
1684,3,male,29.5,2,0,14.22,S,,LOC-709266
1217,3,male,42.1,1,1,11.6,S,,LOC-326232
1226,3,male,16.6,3,0,6.33,C,D168,LOC-467319
1784,2,male,19.4,0,0,37.52,S,E197,LOC-348280
1756,3,female,33.6,1,0,14.21,S,G78,LOC-852656
1203,3,female,33.1,2,0,10.42,S,G119,LOC-644414
1697,1,male,34.3,0,1,55.16,Q,,LOC-185561
1076,3,female,38.2,0,0,12.24,S,,LOC-785758
1894,1,female,,0,0,71.23,S,B145,LOC-260052
1046,3,female,46.5,0,0,10.67,C,,LOC-532959
1798,3,male,38.5,1,0,11.81,C,F102,LOC-895417
1449,1,male,,0,0,87.91,S,,LOC-707395
1895,1,female,47.5,2,0,124.11,S,,LOC-739384
1315,3,male,29.1,0,0,9.91,Q,G4,LOC-668321
1501,3,male,28.8,1,0,22.86,S,G3,LOC-414538
1790,3,female,43.4,0,0,12.52,S,,LOC-231230
1807,3,female,13.1,1,0,10.95,S,,LOC-949772
1258,3,male,27.0,0,0,11.78,S,,LOC-908505
1714,3,male,,1,0,9.97,Q,,LOC-322770
1589,1,male,37.9,0,1,63.4,C,,LOC-697314
1743,1,male,4.0,1,1,116.24,S,D62,LOC-773282
1161,2,female,17.5,1,0,26.89,C,G99,LOC-203000
1009,1,male,,0,0,99.6,S,B108,LOC-675740
1521,3,female,46.3,0,0,5.6,S,,LOC-610260
1891,2,male,28.0,2,0,31.75,C,D31,LOC-175615
1243,2,male,7.0,0,2,36.97,S,,LOC-301485
1134,1,female,29.0,1,0,63.63,C,,LOC-736751
1360,3,male,,0,1,5.75,S,,LOC-499854
1846,1,female,21.5,1,0,122.02,C,,LOC-148302
1847,3,female,24.8,1,0,18.96,S,,LOC-551478
1823,3,female,54.5,0,0,10.84,S,,LOC-203865
1471,1,female,39.4,1,0,63.89,S,,LOC-307981
1443,3,male,38.6,1,0,10.08,Q,,LOC-561804
1472,3,male,6.7,0,0,14.03,S,,LOC-256421
1834,2,male,28.2,1,1,53.96,S,E128,LOC-840312
1338,3,male,11.0,0,1,20.11,C,G115,LOC-762180
1069,3,female,17.9,0,1,14.16,S,B81,LOC-502381
1801,3,male,12.3,1,0,10.86,Q,D12,LOC-945349
1142,3,female,48.8,0,0,24.6,,,LOC-973334
1374,1,male,47.7,0,2,46.5,Q,,LOC-348790
1577,2,male,20.6,0,1,54.49,S,,LOC-992649
1332,3,male,7.9,1,1,16.94,S,,LOC-144345
1233,3,male,22.8,1,0,9.62,Q,,LOC-888493
1701,2,male,30.3,0,0,42.35,S,,LOC-559572
1623,3,male,10.8,2,3,9.42,S,G158,LOC-124727
1567,3,male,,4,0,12.48,S,,LOC-649498
1780,2,male,34.1,1,0,45.69,C,,LOC-321910
1877,3,male,41.8,1,1,22.38,,F198,LOC-179524
1636,3,male,0.5,1,1,20.33,S,F127,LOC-347817
1865,1,female,23.8,0,0,64.87,S,C131,LOC-824559
1493,3,female,4.0,0,1,15.55,S,,LOC-445484
1094,1,female,43.5,1,0,69.04,S,,LOC-353662
1267,2,female,42.9,0,0,20.47,S,,LOC-453842
1872,3,male,,0,0,12.37,S,G76,LOC-712979
1605,2,male,29.9,0,0,27.38,S,C111,LOC-135375
1787,2,female,,0,0,28.54,S,D157,LOC-720328
1735,3,female,31.3,1,0,16.41,C,,LOC-157659
1041,3,female,33.4,0,0,17.02,Q,,LOC-351406
1176,2,male,29.1,0,0,41.31,S,,LOC-967793
1776,2,female,8.4,0,0,32.13,S,,LOC-808928
1731,2,female,19.4,0,0,56.51,C,E158,LOC-278969
1120,3,female,27.0,0,1,15.39,S,,LOC-330566
1189,2,female,,0,1,20.38,S,,LOC-906765
1261,3,male,8.8,1,0,10.48,S,G38,LOC-915720
1074,3,male,24.3,2,1,22.06,S,,LOC-688878
1631,3,male,19.4,0,1,13.84,S,C194,LOC-192229
1647,1,male,40.7,1,0,89.85,S,E85,LOC-938000
1584,3,male,,1,0,12.49,Q,,LOC-672068
1125,2,male,27.0,0,0,44.82,S,,LOC-473071
1398,3,female,33.8,1,0,9.37,S,,LOC-340993
1248,3,male,17.2,0,0,16.79,C,F25,LOC-794910
1337,1,male,6.8,0,0,54.04,S,A92,LOC-317170
1618,3,female,14.5,3,3,21.57,S,,LOC-193819
1281,3,male,37.2,0,0,9.2,C,,LOC-502244
1132,2,male,32.0,1,0,32.63,S,,LOC-397262
1304,1,male,14.5,0,0,120.04,S,B129,LOC-288304
1361,3,male,34.0,0,0,13.14,Q,F16,LOC-463094
1311,1,male,39.2,0,0,113.96,S,B34,LOC-835277
1673,3,male,8.8,1,1,11.42,C,E148,LOC-117360
1621,3,male,15.7,1,0,9.63,S,F21,LOC-619669
1657,1,male,31.2,1,0,86.06,S,,LOC-198688
1202,1,female,10.0,0,3,72.59,S,G137,LOC-914084
1796,3,male,29.9,0,0,6.95,S,,LOC-373846
1687,3,male,37.5,0,0,13.25,S,F65,LOC-903420
1086,3,male,44.0,1,0,7.01,C,,LOC-365189
1042,2,female,15.1,2,1,30.95,C,,LOC-566584
1707,1,male,48.3,0,0,72.96,S,,LOC-808091
1036,2,male,50.7,0,0,24.86,S,E3,LOC-566430
1560,3,male,27.0,1,1,8.66,S,F106,LOC-303964
1843,1,female,21.6,0,0,168.85,S,,LOC-959710
1750,3,male,22.0,3,0,18.03,S,F188,LOC-130202
1663,2,male,39.3,0,1,30.72,S,D175,LOC-948301
1008,3,male,4.6,1,1,15.22,S,,LOC-464799
1164,3,male,,1,0,10.67,Q,,LOC-778911
1556,1,female,59.2,0,1,97.88,S,,LOC-983464
1620,3,male,12.1,1,0,24.39,C,,LOC-520481
1854,1,female,14.3,1,0,98.08,S,,LOC-935387
